" Marilyn Wilson ",Councillor,"250 954-3060",CouncillorWilson@parksville.ca
" Mike Wilson ","Electoral Area Director","(250) 746-2500",mike.wilson@cvrd.bc.ca
"Curtis Wilson ",Councillor,"(250) 286-6949",CurtisWilson@WeiWaiKum.ca
"Dora Wilson ",Councillor,"(250) 748-3196",contactus@cowichantribes.com
"Jamie Wilson ",Councillor,"(250) 923-4979",jamie.wilson@homalco.com
"Keith Wilson ",Councillor,"(250) 285-3316",reception@wewaikai.com
"Martha Wilson ",Councillor,"(250) 842-5297",info@gitanmaax.com
"Steve Wilson ","Band Administrator","(250) 455-2304",s.wilson@lfn.band
"Judy Wilson ",Chief,"(250) 679-3295",judywilson@neskonlith.net
"Dan Wilson ",Councillor,"(250) 799-5959",dan.wilson@okanagan.org
